realtime_start,value,date,realtime_end
12/6/2019,281653,4/1/2000,12/6/2019
12/6/2019,281877,5/1/2000,12/6/2019
12/6/2019,282126,6/1/2000,12/6/2019
12/6/2019,282385,7/1/2000,12/6/2019
12/6/2019,282653,8/1/2000,12/6/2019
12/6/2019,282932,9/1/2000,12/6/2019
12/6/2019,283201,10/1/2000,12/6/2019
12/6/2019,283453,11/1/2000,12/6/2019
12/6/2019,283696,12/1/2000,12/6/2019
12/6/2019,283920,1/1/2001,12/6/2019
12/6/2019,284137,2/1/2001,12/6/2019
12/6/2019,284350,3/1/2001,12/6/2019
12/6/2019,284581,4/1/2001,12/6/2019
12/6/2019,284810,5/1/2001,12/6/2019
12/6/2019,285062,6/1/2001,12/6/2019
12/6/2019,285309,7/1/2001,12/6/2019
12/6/2019,285570,8/1/2001,12/6/2019
12/6/2019,285843,9/1/2001,12/6/2019
12/6/2019,286098,10/1/2001,12/6/2019
12/6/2019,286341,11/1/2001,12/6/2019
12/6/2019,286570,12/1/2001,12/6/2019
12/6/2019,286788,1/1/2002,12/6/2019
12/6/2019,286994,2/1/2002,12/6/2019
12/6/2019,287190,3/1/2002,12/6/2019
12/6/2019,287397,4/1/2002,12/6/2019
12/6/2019,287623,5/1/2002,12/6/2019
12/6/2019,287864,6/1/2002,12/6/2019
12/6/2019,288105,7/1/2002,12/6/2019
12/6/2019,288360,8/1/2002,12/6/2019
12/6/2019,288618,9/1/2002,12/6/2019
12/6/2019,288870,10/1/2002,12/6/2019
12/6/2019,289106,11/1/2002,12/6/2019
12/6/2019,289313,12/1/2002,12/6/2019
12/6/2019,289518,1/1/2003,12/6/2019
12/6/2019,289714,2/1/2003,12/6/2019
12/6/2019,289911,3/1/2003,12/6/2019
12/6/2019,290125,4/1/2003,12/6/2019
12/6/2019,290346,5/1/2003,12/6/2019
12/6/2019,290584,6/1/2003,12/6/2019
12/6/2019,290820,7/1/2003,12/6/2019
12/6/2019,291072,8/1/2003,12/6/2019
12/6/2019,291321,9/1/2003,12/6/2019
12/6/2019,291574,10/1/2003,12/6/2019
12/6/2019,291807,11/1/2003,12/6/2019
12/6/2019,292008,12/1/2003,12/6/2019
12/6/2019,292192,1/1/2004,12/6/2019
12/6/2019,292368,2/1/2004,12/6/2019
12/6/2019,292561,3/1/2004,12/6/2019
12/6/2019,292779,4/1/2004,12/6/2019
12/6/2019,292997,5/1/2004,12/6/2019
12/6/2019,293223,6/1/2004,12/6/2019
12/6/2019,293463,7/1/2004,12/6/2019
12/6/2019,293719,8/1/2004,12/6/2019
12/6/2019,293971,9/1/2004,12/6/2019
12/6/2019,294230,10/1/2004,12/6/2019
12/6/2019,294466,11/1/2004,12/6/2019
12/6/2019,294694,12/1/2004,12/6/2019
12/6/2019,294914,1/1/2005,12/6/2019
12/6/2019,295105,2/1/2005,12/6/2019
12/6/2019,295287,3/1/2005,12/6/2019
12/6/2019,295490,4/1/2005,12/6/2019
12/6/2019,295704,5/1/2005,12/6/2019
12/6/2019,295936,6/1/2005,12/6/2019
12/6/2019,296186,7/1/2005,12/6/2019
12/6/2019,296440,8/1/2005,12/6/2019
12/6/2019,296707,9/1/2005,12/6/2019
12/6/2019,296972,10/1/2005,12/6/2019
12/6/2019,297207,11/1/2005,12/6/2019
12/6/2019,297431,12/1/2005,12/6/2019
12/6/2019,297647,1/1/2006,12/6/2019
12/6/2019,297854,2/1/2006,12/6/2019
12/6/2019,298060,3/1/2006,12/6/2019
12/6/2019,298281,4/1/2006,12/6/2019
12/6/2019,298496,5/1/2006,12/6/2019
12/6/2019,298739,6/1/2006,12/6/2019
12/6/2019,298996,7/1/2006,12/6/2019
12/6/2019,299263,8/1/2006,12/6/2019
12/6/2019,299554,9/1/2006,12/6/2019
12/6/2019,299835,10/1/2006,12/6/2019
12/6/2019,300094,11/1/2006,12/6/2019
12/6/2019,300340,12/1/2006,12/6/2019
12/6/2019,300574,1/1/2007,12/6/2019
12/6/2019,300802,2/1/2007,12/6/2019
12/6/2019,301021,3/1/2007,12/6/2019
12/6/2019,301254,4/1/2007,12/6/2019
12/6/2019,301483,5/1/2007,12/6/2019
12/6/2019,301739,6/1/2007,12/6/2019
12/6/2019,302004,7/1/2007,12/6/2019
12/6/2019,302267,8/1/2007,12/6/2019
12/6/2019,302546,9/1/2007,12/6/2019
12/6/2019,302807,10/1/2007,12/6/2019
12/6/2019,303054,11/1/2007,12/6/2019
12/6/2019,303287,12/1/2007,12/6/2019
12/6/2019,303506,1/1/2008,12/6/2019
12/6/2019,303711,2/1/2008,12/6/2019
12/6/2019,303907,3/1/2008,12/6/2019
12/6/2019,304117,4/1/2008,12/6/2019
12/6/2019,304323,5/1/2008,12/6/2019
12/6/2019,304556,6/1/2008,12/6/2019
12/6/2019,304798,7/1/2008,12/6/2019
12/6/2019,305045,8/1/2008,12/6/2019
12/6/2019,305309,9/1/2008,12/6/2019
12/6/2019,305554,10/1/2008,12/6/2019
12/6/2019,305786,11/1/2008,12/6/2019
12/6/2019,306004,12/1/2008,12/6/2019
12/6/2019,306208,1/1/2009,12/6/2019
12/6/2019,306402,2/1/2009,12/6/2019
12/6/2019,306588,3/1/2009,12/6/2019
12/6/2019,306787,4/1/2009,12/6/2019
12/6/2019,306984,5/1/2009,12/6/2019
12/6/2019,307206,6/1/2009,12/6/2019
12/6/2019,307439,7/1/2009,12/6/2019
12/6/2019,307685,8/1/2009,12/6/2019
12/6/2019,307946,9/1/2009,12/6/2019
12/6/2019,308189,10/1/2009,12/6/2019
12/6/2019,308418,11/1/2009,12/6/2019
12/6/2019,308633,12/1/2009,12/6/2019
12/6/2019,308833,1/1/2010,12/6/2019
12/6/2019,309027,2/1/2010,12/6/2019
12/6/2019,309212,3/1/2010,12/6/2019
12/6/2019,309191.211,4/1/2010,12/6/2019
12/6/2019,309369.053,5/1/2010,12/6/2019
12/6/2019,309548.502,6/1/2010,12/6/2019
12/6/2019,309745.698,7/1/2010,12/6/2019
12/6/2019,309957.775,8/1/2010,12/6/2019
12/6/2019,310176.466,9/1/2010,12/6/2019
12/6/2019,310399.958,10/1/2010,12/6/2019
12/6/2019,310595.764,11/1/2010,12/6/2019
12/6/2019,310781.705,12/1/2010,12/6/2019
12/6/2019,310960.74,1/1/2011,12/6/2019
12/6/2019,311113.376,2/1/2011,12/6/2019
12/6/2019,311265.404,3/1/2011,12/6/2019
12/6/2019,311436.238,4/1/2011,12/6/2019
12/6/2019,311607.08,5/1/2011,12/6/2019
12/6/2019,311791.223,6/1/2011,12/6/2019
12/6/2019,311997.049,7/1/2011,12/6/2019
12/6/2019,312205.367,8/1/2011,12/6/2019
12/6/2019,312429.118,9/1/2011,12/6/2019
12/6/2019,312644.159,10/1/2011,12/6/2019
12/6/2019,312829.523,11/1/2011,12/6/2019
12/6/2019,313009.712,12/1/2011,12/6/2019
12/6/2019,313183.179,1/1/2012,12/6/2019
12/6/2019,313338.977,2/1/2012,12/6/2019
12/6/2019,313499.369,3/1/2012,12/6/2019
12/6/2019,313667.127,4/1/2012,12/6/2019
12/6/2019,313830.53,5/1/2012,12/6/2019
12/6/2019,314017.594,6/1/2012,12/6/2019
12/6/2019,314210.786,7/1/2012,12/6/2019
12/6/2019,314422.341,8/1/2012,12/6/2019
12/6/2019,314646.749,9/1/2012,12/6/2019
12/6/2019,314853.978,10/1/2012,12/6/2019
12/6/2019,315053.863,11/1/2012,12/6/2019
12/6/2019,315232.752,12/1/2012,12/6/2019
12/6/2019,315389.595,1/1/2013,12/6/2019
12/6/2019,315520.143,2/1/2013,12/6/2019
12/6/2019,315662.224,3/1/2013,12/6/2019
12/6/2019,315817.855,4/1/2013,12/6/2019
12/6/2019,315983.654,5/1/2013,12/6/2019
12/6/2019,316171.042,6/1/2013,12/6/2019
12/6/2019,316358.778,7/1/2013,12/6/2019
12/6/2019,316580.327,8/1/2013,12/6/2019
12/6/2019,316806.125,9/1/2013,12/6/2019
12/6/2019,317022.27,10/1/2013,12/6/2019
12/6/2019,317228.026,11/1/2013,12/6/2019
12/6/2019,317411.551,12/1/2013,12/6/2019
12/6/2019,317593.923,1/1/2014,12/6/2019
12/6/2019,317753.883,2/1/2014,12/6/2019
12/6/2019,317917.203,3/1/2014,12/6/2019
12/6/2019,318089.218,4/1/2014,12/6/2019
12/6/2019,318269.505,5/1/2014,12/6/2019
12/6/2019,318464.152,6/1/2014,12/6/2019
12/6/2019,318662.368,7/1/2014,12/6/2019
12/6/2019,318893.786,8/1/2014,12/6/2019
12/6/2019,319125.296,9/1/2014,12/6/2019
12/6/2019,319353.734,10/1/2014,12/6/2019
12/6/2019,319564.209,11/1/2014,12/6/2019
12/6/2019,319746.157,12/1/2014,12/6/2019
12/6/2019,319928.646,1/1/2015,12/6/2019
12/6/2019,320074.511,2/1/2015,12/6/2019
12/6/2019,320230.786,3/1/2015,12/6/2019
12/6/2019,320402.295,4/1/2015,12/6/2019
12/6/2019,320583.972,5/1/2015,12/6/2019
12/6/2019,320773.558,6/1/2015,12/6/2019
12/6/2019,320978.213,7/1/2015,12/6/2019
12/6/2019,321202.45,8/1/2015,12/6/2019
12/6/2019,321427.611,9/1/2015,12/6/2019
12/6/2019,321653.019,10/1/2015,12/6/2019
12/6/2019,321856.265,11/1/2015,12/6/2019
12/6/2019,322043.071,12/1/2015,12/6/2019
12/6/2019,322232.862,1/1/2016,12/6/2019
12/6/2019,322398.098,2/1/2016,12/6/2019
12/6/2019,322551.468,3/1/2016,12/6/2019
12/6/2019,322721.212,4/1/2016,12/6/2019
12/6/2019,322899.995,5/1/2016,12/6/2019
12/6/2019,323088.466,6/1/2016,12/6/2019
12/6/2019,323291.042,7/1/2016,12/6/2019
12/6/2019,323501.361,8/1/2016,12/6/2019
12/6/2019,323709.851,9/1/2016,12/6/2019
12/6/2019,323919.726,10/1/2016,12/6/2019
12/6/2019,324106.527,11/1/2016,12/6/2019
12/6/2019,324274.912,12/1/2016,12/6/2019
12/6/2019,324438.195,1/1/2017,12/6/2019
12/6/2019,324581.497,2/1/2017,12/6/2019
12/6/2019,324713.97,3/1/2017,12/6/2019
12/6/2019,324861.757,4/1/2017,12/6/2019
12/6/2019,325019.199,5/1/2017,12/6/2019
12/6/2019,325186.237,6/1/2017,12/6/2019
12/6/2019,325367.612,7/1/2017,12/6/2019
12/6/2019,325567.716,8/1/2017,12/6/2019
12/6/2019,325766.019,9/1/2017,12/6/2019
12/6/2019,325965.952,10/1/2017,12/6/2019
12/6/2019,326142.633,11/1/2017,12/6/2019
12/6/2019,326301.399,12/1/2017,12/6/2019
12/6/2019,326454.123,1/1/2018,12/6/2019
12/6/2019,326600.823,2/1/2018,12/6/2019
12/6/2019,326736.69,3/1/2018,12/6/2019
12/6/2019,326887.866,4/1/2018,12/6/2019
12/6/2019,327048.704,5/1/2018,12/6/2019
12/6/2019,327219.14,6/1/2018,12/6/2019
12/6/2019,327403.909,7/1/2018,12/6/2019
12/6/2019,327600.25,8/1/2018,12/6/2019
12/6/2019,327794.788,9/1/2018,12/6/2019
12/6/2019,327990.95,10/1/2018,12/6/2019
12/6/2019,328163.864,11/1/2018,12/6/2019
12/6/2019,328318.861,12/1/2018,12/6/2019
12/6/2019,328467.812,1/1/2019,12/6/2019
12/6/2019,328610.744,2/1/2019,12/6/2019
12/6/2019,328742.843,3/1/2019,12/6/2019
12/6/2019,328890.25,4/1/2019,12/6/2019
12/6/2019,329047.319,5/1/2019,12/6/2019
12/6/2019,329213.989,6/1/2019,12/6/2019
12/6/2019,329394.993,7/1/2019,12/6/2019
12/6/2019,329591.333,8/1/2019,12/6/2019
12/6/2019,329785.872,9/1/2019,12/6/2019
12/6/2019,329982.035,10/1/2019,12/6/2019
12/6/2019,330154.949,11/1/2019,12/6/2019
12/6/2019,330309.946,12/1/2019,12/6/2019
