realtime_start,value,date,realtime_end
12/6/2019,208917,1/1/1972,12/6/2019
12/6/2019,209061,2/1/1972,12/6/2019
12/6/2019,209212,3/1/1972,12/6/2019
12/6/2019,209386,4/1/1972,12/6/2019
12/6/2019,209545,5/1/1972,12/6/2019
12/6/2019,209725,6/1/1972,12/6/2019
12/6/2019,209896,7/1/1972,12/6/2019
12/6/2019,210075,8/1/1972,12/6/2019
12/6/2019,210278,9/1/1972,12/6/2019
12/6/2019,210479,10/1/1972,12/6/2019
12/6/2019,210656,11/1/1972,12/6/2019
12/6/2019,210821,12/1/1972,12/6/2019
12/6/2019,210985,1/1/1973,12/6/2019
12/6/2019,211120,2/1/1973,12/6/2019
12/6/2019,211254,3/1/1973,12/6/2019
12/6/2019,211420,4/1/1973,12/6/2019
12/6/2019,211577,5/1/1973,12/6/2019
12/6/2019,211746,6/1/1973,12/6/2019
12/6/2019,211909,7/1/1973,12/6/2019
12/6/2019,212092,8/1/1973,12/6/2019
12/6/2019,212289,9/1/1973,12/6/2019
12/6/2019,212475,10/1/1973,12/6/2019
12/6/2019,212634,11/1/1973,12/6/2019
12/6/2019,212785,12/1/1973,12/6/2019
12/6/2019,212932,1/1/1974,12/6/2019
12/6/2019,213074,2/1/1974,12/6/2019
12/6/2019,213211,3/1/1974,12/6/2019
12/6/2019,213361,4/1/1974,12/6/2019
12/6/2019,213513,5/1/1974,12/6/2019
12/6/2019,213686,6/1/1974,12/6/2019
12/6/2019,213854,7/1/1974,12/6/2019
12/6/2019,214042,8/1/1974,12/6/2019
12/6/2019,214246,9/1/1974,12/6/2019
12/6/2019,214451,10/1/1974,12/6/2019
12/6/2019,214625,11/1/1974,12/6/2019
12/6/2019,214782,12/1/1974,12/6/2019
12/6/2019,214931,1/1/1975,12/6/2019
12/6/2019,215065,2/1/1975,12/6/2019
12/6/2019,215198,3/1/1975,12/6/2019
12/6/2019,215353,4/1/1975,12/6/2019
12/6/2019,215523,5/1/1975,12/6/2019
12/6/2019,215768,6/1/1975,12/6/2019
12/6/2019,215973,7/1/1975,12/6/2019
12/6/2019,216195,8/1/1975,12/6/2019
12/6/2019,216393,9/1/1975,12/6/2019
12/6/2019,216587,10/1/1975,12/6/2019
12/6/2019,216771,11/1/1975,12/6/2019
12/6/2019,216931,12/1/1975,12/6/2019
12/6/2019,217095,1/1/1976,12/6/2019
12/6/2019,217249,2/1/1976,12/6/2019
12/6/2019,217381,3/1/1976,12/6/2019
12/6/2019,217528,4/1/1976,12/6/2019
12/6/2019,217685,5/1/1976,12/6/2019
12/6/2019,217861,6/1/1976,12/6/2019
12/6/2019,218035,7/1/1976,12/6/2019
12/6/2019,218233,8/1/1976,12/6/2019
12/6/2019,218440,9/1/1976,12/6/2019
12/6/2019,218644,10/1/1976,12/6/2019
12/6/2019,218834,11/1/1976,12/6/2019
12/6/2019,219006,12/1/1976,12/6/2019
12/6/2019,219179,1/1/1977,12/6/2019
12/6/2019,219344,2/1/1977,12/6/2019
12/6/2019,219504,3/1/1977,12/6/2019
12/6/2019,219684,4/1/1977,12/6/2019
12/6/2019,219859,5/1/1977,12/6/2019
12/6/2019,220046,6/1/1977,12/6/2019
12/6/2019,220239,7/1/1977,12/6/2019
12/6/2019,220458,8/1/1977,12/6/2019
12/6/2019,220688,9/1/1977,12/6/2019
12/6/2019,220904,10/1/1977,12/6/2019
